Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET,lower,result,upper,lowLabel,resultlabel,uplabel,level(ft)
2019-05-17,1.54,2805.56,96.0,45.0,0.0,0.0,0.0,62.10047533001121,86.83776884688544,88.49658888557865,0,0,0,2804.938748457329
2019-05-18,1.55,2805.62,118.0,45.0,0.0,0.0,0.0,62.10047533001121,86.83776884688544,87.11711307608245,0,0,0,2804.9381804067393
2019-05-19,1.55,2805.66,116.0,45.0,0.0,0.0,0.0,73.21348490945071,94.74353835970544,113.49307728112713,0,0,0,2805.008801417554
2019-05-20,1.55,2805.67,106.5,45.0,0.0,0.0,0.0,73.21348490945071,94.74353835970544,113.49307728112713,0,0,0,2805.0224999527995
2019-05-21,1.55,2805.68,97.0,45.0,0.0,0.0,0.0,64.04200384131063,86.83776884688544,86.63692793007901,0,0,0,2805.0221258904116
2019-05-22,1.55,2805.71,99.0,45.0,0.0,0.0,0.0,62.10047533001121,86.83776884688544,85.13790527267359,0,0,0,2805.0256065019585
2019-05-23,1.56,2805.75,112.0,45.0,0.0,0.0,0.0,64.04200384131063,86.83776884688544,86.63692793007901,0,0,0,2805.0288810709167
2019-05-24,1.56,2805.76,96.0,45.0,0.0,0.0,0.0,73.21348490945071,94.74353835970544,113.49307728112713,0,0,0,2805.0998095872014
2019-05-25,1.56,2805.8,116.0,45.0,0.0,0.0,0.0,62.10047533001121,86.83776884688544,85.13790527267359,0,0,0,2805.1148182030893
2019-05-26,1.56,2805.86,130.0,50.0,0.0,0.0,0.0,73.21348490945071,94.74353835970544,113.49307728112713,0,0,0,2805.1214427531268
2019-05-27,1.56,2805.84,120.0,77.5,0.0,0.0,0.0,64.43266810398485,94.74353835970544,116.32684351489341,0,0,0,2805.114420720433
2019-05-28,1.56,2805.82,110.0,105.0,0.0,0.0,0.0,73.21348490945071,94.74353835970544,113.49307728112713,0,0,0,2805.106741080524
2019-05-29,1.56,2805.82,110.0,105.0,0.0,0.0,0.0,69.89910183802571,94.74353835970544,110.17645390450379,0,0,0,2805.108644790143
2019-05-30,1.56,2805.8,98.0,105.0,0.0,0.0,0.0,69.89910183802571,94.74353835970544,113.49307728112713,0,0,0,2805.1147277246037
2019-05-31,1.56,2805.78,95.0,80.0,0.0,0.0,0.0,62.10047533001121,86.83776884688544,85.25745212058281,0,0,0,2805.1132780721937
2019-06-01,1.56,2805.77,85.0,70.0,10.779645786542401,9.711241750750812,8.95445430176393,62.10047533001121,86.83776884688544,88.49658888557865,0,0,0,2805.120938378359
