Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET,Label
2012-01-06,1.81772727272727,2810.12636363636,136.090909090909,4324.72727272727,1.40514018691589,2.12943925233645,0.343457943925234,3
2012-01-07,1.8174025974026,2810.1187012987,135.246753246753,4299.11688311688,1.39626168224299,2.11495327102804,0.341121495327103,3
2012-01-08,1.81707792207792,2810.11103896104,134.402597402597,4273.50649350649,1.38738317757009,2.10046728971963,0.338785046728972,3
2012-01-09,1.81675324675325,2810.10337662338,133.558441558442,4247.8961038961,1.3785046728972,2.08598130841121,0.336448598130841,3
2012-01-10,1.81642857142857,2810.09571428571,132.714285714286,4222.28571428571,1.3696261682243,2.0714953271028,0.33411214953271,3
2012-01-11,1.8161038961039,2810.08805194805,131.87012987013,4196.67532467533,1.3607476635514,2.05700934579439,0.331775700934579,3
2012-01-12,1.81577922077922,2810.08038961039,131.025974025974,4171.06493506493,1.3518691588785,2.04252336448598,0.329439252336449,3
2012-01-13,1.81545454545455,2810.07272727273,130.181818181818,4145.45454545454,1.34299065420561,2.02803738317757,0.327102803738318,3
2012-01-14,1.81512987012987,2810.06506493506,129.337662337662,4119.84415584416,1.33411214953271,2.01355140186916,0.324766355140187,3
2012-01-15,1.8148051948052,2810.0574025974,128.493506493506,4094.23376623377,1.32523364485981,1.99906542056075,0.322429906542056,3
2012-01-16,1.81448051948052,2810.04974025974,127.649350649351,4068.62337662338,1.31635514018692,1.98457943925234,0.320093457943925,3
2012-01-17,1.81415584415584,2810.04207792208,126.805194805195,4043.01298701299,1.30747663551402,1.97009345794393,0.317757009345794,3
2012-01-18,1.81383116883117,2810.03441558442,125.961038961039,4017.4025974026,1.29859813084112,1.95560747663551,0.315420560747664,3
2012-01-19,1.81350649350649,2810.02675324675,125.116883116883,3991.79220779221,1.28971962616822,1.9411214953271,0.313084112149533,3
2012-01-20,1.81318181818182,2810.01909090909,124.272727272727,3966.18181818182,1.28084112149533,1.92663551401869,0.310747663551402,3
2012-01-21,1.81285714285714,2810.01142857143,123.428571428571,3940.57142857143,1.27196261682243,1.91214953271028,0.308411214953271,3
2012-01-22,1.81253246753247,2810.00376623377,122.584415584416,3914.96103896104,1.26308411214953,1.89766355140187,0.30607476635514,3
2012-01-23,1.81220779220779,2809.9961038961,121.74025974026,3889.35064935065,1.25420560747664,1.88317757009346,0.303738317757009,3
2012-01-24,1.81188311688312,2809.98844155844,120.896103896104,3863.74025974026,1.24532710280374,1.86869158878505,0.301401869158878,3
2012-01-25,1.81155844155844,2809.98077922078,120.051948051948,3838.12987012987,1.23644859813084,1.85420560747664,0.299065420560748,3
2012-01-26,1.81123376623377,2809.97311688312,119.207792207792,3812.51948051948,1.22757009345794,1.83971962616822,0.296728971962617,3
2012-01-27,1.81090909090909,2809.96545454545,118.363636363636,3786.90909090909,1.21869158878505,1.82523364485981,0.294392523364486,3
2012-01-28,1.81058441558442,2809.95779220779,117.519480519481,3761.2987012987,1.20981308411215,1.8107476635514,0.292056074766355,3
2012-01-29,1.81025974025974,2809.95012987013,116.675324675325,3735.68831168831,1.20093457943925,1.79626168224299,0.289719626168224,3
2012-01-30,1.80993506493507,2809.94246753247,115.831168831169,3710.07792207792,1.19205607476636,1.78177570093458,0.287383177570093,3
2012-01-31,1.80961038961039,2809.93480519481,114.987012987013,3684.46753246753,1.18317757009346,1.76728971962617,0.285046728971963,3
2012-02-01,1.80928571428571,2809.92714285714,114.142857142857,3658.85714285714,1.17429906542056,1.75280373831776,0.282710280373832,3
2012-02-02,1.80896103896104,2809.91948051948,113.298701298701,3633.24675324675,1.16542056074766,1.73831775700935,0.280373831775701,3
2012-02-03,1.80863636363636,2809.91181818182,112.454545454545,3607.63636363636,1.15654205607477,1.72383177570093,0.27803738317757,3
2012-02-04,1.80831168831169,2809.90415584416,111.61038961039,3582.02597402597,1.14766355140187,1.70934579439252,0.275700934579439,3
2012-02-05,1.80798701298701,2809.89649350649,110.766233766234,3556.41558441558,1.13878504672897,1.69485981308411,0.273364485981309,3
2012-02-06,1.80766233766234,2809.88883116883,109.922077922078,3530.80519480519,1.12990654205607,1.6803738317757,0.271028037383178,3
2012-02-07,1.80733766233766,2809.88116883117,109.077922077922,3505.19480519481,1.12102803738318,1.66588785046729,0.268691588785047,3
2012-02-08,1.80701298701299,2809.87350649351,108.233766233766,3479.58441558442,1.11214953271028,1.65140186915888,0.266355140186916,3
2012-02-09,1.80668831168831,2809.86584415584,107.38961038961,3453.97402597403,1.10327102803738,1.63691588785047,0.264018691588785,3
2012-02-10,1.80636363636364,2809.85818181818,106.545454545455,3428.36363636364,1.09439252336449,1.62242990654206,0.261682242990654,3
2012-02-11,1.80603896103896,2809.85051948052,105.701298701299,3402.75324675325,1.08551401869159,1.60794392523365,0.259345794392523,3
2012-02-12,1.80571428571429,2809.84285714286,104.857142857143,3377.14285714286,1.07663551401869,1.59345794392523,0.257009345794393,3
2012-02-13,1.80538961038961,2809.83519480519,104.012987012987,3351.53246753247,1.06775700934579,1.57897196261682,0.254672897196262,3
2012-02-14,1.80506493506494,2809.82753246753,103.168831168831,3325.92207792208,1.0588785046729,1.56448598130841,0.252336448598131,3
2012-02-15,1.80474025974026,2809.81987012987,102.324675324675,3300.31168831169,1.05,1.55,0.25,3
2012-02-16,1.80441558441558,2809.81220779221,101.480519480519,3274.7012987013,1.0411214953271,1.53551401869159,0.247663551401869,3
2012-02-17,1.80409090909091,2809.80454545455,100.636363636364,3249.09090909091,1.03224299065421,1.52102803738318,0.245327102803738,1
2012-02-18,1.80376623376623,2809.79688311688,99.7922077922078,3223.48051948052,1.02336448598131,1.50654205607477,0.242990654205607,1
2012-02-19,1.80344155844156,2809.78922077922,98.948051948052,3197.87012987013,1.01448598130841,1.49205607476636,0.240654205607477,1
2012-02-20,1.80311688311688,2809.78155844156,98.1038961038961,3172.25974025974,1.00560747663551,1.47757009345794,0.238317757009346,1
2012-02-21,1.80279220779221,2809.7738961039,97.2597402597403,3146.64935064935,0.996728971962617,1.46308411214953,0.235981308411215,1
2012-02-22,1.80246753246753,2809.76623376623,96.4155844155844,3121.03896103896,0.98785046728972,1.44859813084112,0.233644859813084,1
2012-02-23,1.80214285714286,2809.75857142857,95.5714285714286,3095.42857142857,0.978971962616822,1.43411214953271,0.231308411214953,1
2012-02-24,1.80181818181818,2809.75090909091,94.7272727272727,3069.81818181818,0.970093457943925,1.4196261682243,0.228971962616822,1
2012-02-25,1.80149350649351,2809.74324675325,93.8831168831169,3044.20779220779,0.961214953271028,1.40514018691589,0.226635514018692,1
2012-02-26,1.80116883116883,2809.73558441558,93.038961038961,3018.5974025974,0.952336448598131,1.39065420560748,0.224299065420561,1
2012-02-27,1.80084415584416,2809.72792207792,92.1948051948052,2992.98701298701,0.943457943925234,1.37616822429907,0.22196261682243,1
2012-02-28,1.80051948051948,2809.72025974026,91.3506493506494,2967.37662337662,0.934579439252336,1.36168224299065,0.219626168224299,1
2012-02-29,1.80019480519481,2809.7125974026,90.5064935064935,2941.76623376623,0.925700934579439,1.34719626168224,0.217289719626168,1
2012-03-01,1.79987012987013,2809.70493506493,89.6623376623377,2916.15584415584,0.916822429906542,1.33271028037383,0.214953271028037,1
2012-03-02,1.79954545454545,2809.69727272727,88.8181818181818,2890.54545454545,0.907943925233645,1.31822429906542,0.212616822429907,1
2012-03-03,1.79922077922078,2809.68961038961,87.974025974026,2864.93506493506,0.899065420560748,1.30373831775701,0.210280373831776,1
2012-03-04,1.7988961038961,2809.68194805195,87.1298701298701,2839.32467532468,0.89018691588785,1.2892523364486,0.207943925233645,1
2012-03-05,1.79857142857143,2809.67428571429,86.2857142857143,2813.71428571429,0.881308411214953,1.27476635514019,0.205607476635514,1
2012-03-06,1.79824675324675,2809.66662337662,85.4415584415584,2788.1038961039,0.872429906542056,1.26028037383178,0.203271028037383,1
